Time,Load,Crosshead,Extensometer
14.859,1994.808,0.369502,0.024501
14.959,2000.824,0.371943,0.024519
15.059,2007.428,0.374445,0.024648
15.159,2014.739,0.377006,0.024756
15.259,2021.733,0.379448,0.024745
15.359,2028.619,0.381949,0.024868
15.459,2035.95,0.38451,0.024923
15.559,2041.966,0.387012,0.025054
15.659,2048.438,0.389454,0.02509
15.759,2055.466,0.392015,0.025165
15.859,2061.434,0.394516,0.025316
15.959,2067.818,0.396958,0.025317
16.059,2075.363,0.39946,0.025445
16.159,2082.408,0.402021,0.025537
16.259,2088.088,0.404462,0.02561
16.359,2095.475,0.406964,0.025672
16.459,2102.303,0.409465,0.02581
16.559,2108.127,0.411967,0.025793
16.659,2114.803,0.414409,0.025897
16.759,2121.671,0.41697,0.025967
16.859,2128.701,0.419471,0.026103
16.959,2135.057,0.421913,0.026173
17.059,2141.757,0.424474,0.02621
17.159,2148.196,0.426976,0.026371
17.259,2154.869,0.429418,0.02648
17.359,2161.566,0.431919,0.026523
17.459,2168.412,0.43448,0.026593
17.559,2173.551,0.436981,0.026575
17.659,2178.996,0.439423,0.026758
17.759,2186.314,0.441984,0.026809
17.859,2192.781,0.444486,0.026931
17.959,2199.888,0.446928,0.027008
18.059,2207.814,0.449489,0.027128
18.159,2214.051,0.451931,0.027232
18.259,2220.358,0.454432,0.02731
18.359,2227.021,0.456934,0.027375
18.459,2234.508,0.459435,0.027453
18.559,2240.11,0.461877,0.027528
18.659,2247.531,0.464378,0.027572
18.759,2254.914,0.466939,0.027679
18.859,2260.352,0.469381,0.027755
18.959,2267.635,0.471883,0.027836
19.059,2274.94,0.474444,0.027974
19.159,2281.043,0.476945,0.028048
19.259,2287.644,0.479387,0.02804
19.359,2293.857,0.481948,0.028128
19.459,2301.002,0.484509,0.02822
19.559,2307.697,0.486951,0.028335
19.659,2315.185,0.489453,0.028355
19.759,2321.273,0.491954,0.028546
19.859,2327.483,0.494396,0.028586
19.959,2334.706,0.496897,0.028653
20.059,2341.683,0.499458,0.028802
20.159,2348.216,0.50196,0.028745
20.259,2353.563,0.504402,0.028922
20.359,2360.876,0.506963,0.028965
20.459,2367.797,0.509405,0.029006
20.559,2374.293,0.511847,0.029127
20.659,2381.741,0.514408,0.029279
20.759,2388.004,0.516909,0.02927
20.859,2394.41,0.519351,0.029396
20.959,2401.776,0.521852,0.029442
21.059,2408.226,0.524413,0.02958
21.159,2414.98,0.526915,0.029644
21.259,2421.249,0.529416,0.029751
21.359,2428.444,0.531918,0.029773
21.459,2434.586,0.53436,0.029808
21.559,2441.296,0.536861,0.030018
21.659,2448.277,0.539422,0.030063
21.759,2455.302,0.541864,0.030197
21.859,2461.406,0.544366,0.030175
21.959,2468.554,0.546927,0.030318
22.059,2474.98,0.549428,0.030388
22.159,2481.703,0.55187,0.030458
22.259,2488.166,0.554371,0.030561
22.359,2495.43,0.556873,0.030627
22.459,2501.42,0.559315,0.030671
22.559,2508.408,0.561816,0.0308
22.659,2516.334,0.564377,0.030942
22.759,2522.428,0.566879,0.031023
22.859,2528.427,0.569321,0.031058
22.959,2535.96,0.571882,0.031137
23.059,2543.178,0.574383,0.031256
23.159,2549.213,0.576825,0.031319
23.259,2557.072,0.579386,0.031418
23.359,2564.056,0.581888,0.031489
23.459,2570.452,0.584329,0.031605
23.559,2577.301,0.58689,0.031617
23.659,2584.808,0.589392,0.031774
23.759,2590.884,0.591893,0.031918
23.859,2598.014,0.594335,0.031905
23.959,2605.016,0.596896,0.032004
24.059,2611.695,0.599338,0.032107
24.159,2618.737,0.60178,0.032115
24.259,2626.567,0.604341,0.032246
24.359,2633.057,0.606843,0.032315
24.459,2639.7,0.609284,0.032462
24.559,2646.461,0.611846,0.03251
24.659,2653.257,0.614347,0.032607
24.759,2659.81,0.616789,0.032686
24.859,2667.239,0.61929,0.032737
24.959,2673.93,0.621792,0.032836
25.059,2680.957,0.624293,0.032977
25.159,2687.724,0.626795,0.033022
25.259,2695.318,0.629356,0.033076
25.359,2701.246,0.631798,0.033179
25.459,2708.23,0.634299,0.033275
25.559,2715.188,0.63686,0.033397
25.659,2721.949,0.639362,0.033455
25.759,2728.231,0.641803,0.033589
25.859,2736.513,0.644305,0.033651
25.959,2742.612,0.646806,0.033754
26.059,2748.792,0.649308,0.033814
26.159,2756.506,0.651809,0.033809
26.259,2762.885,0.654311,0.033848
26.359,2769.29,0.656753,0.034039
26.459,2776.552,0.659254,0.03407
26.559,2783.625,0.661815,0.034137
26.659,2790.498,0.664257,0.034249
26.759,2797.467,0.666759,0.034306
26.859,2804.795,0.66926,0.03441
26.959,2812.26,0.671761,0.034515
27.059,2818.202,0.674263,0.034577
27.159,2825.723,0.676824,0.03467
27.259,2832.57,0.679325,0.03479
27.359,2838.125,0.681767,0.034925
27.459,2846.328,0.684328,0.03499
27.559,2853.119,0.68683,0.035048
27.659,2859.431,0.689272,0.035107
27.759,2866.069,0.691773,0.03523
27.859,2874.016,0.694334,0.035306
27.959,2880.094,0.696776,0.035422
28.059,2886.854,0.699218,0.035505
28.159,2893.425,0.701779,0.035567
28.259,2900.298,0.70428,0.035657
28.359,2907.285,0.706722,0.035712
28.459,2914.559,0.709224,0.035795
28.559,2921.729,0.711785,0.035918
28.659,2928.343,0.714227,0.03603
28.759,2935.23,0.716728,0.036115
28.859,2942.442,0.71923,0.036187
28.959,2948.463,0.721731,0.036334
29.059,2955.498,0.724233,0.036395
29.159,2962.769,0.726794,0.036322
29.259,2969.577,0.729295,0.036513
29.359,2976.578,0.731737,0.036585
29.459,2983.697,0.734298,0.036676
29.559,2990.429,0.73674,0.036782
29.659,2997.156,0.739182,0.036888
29.759,3004.482,0.741743,0.037004
29.859,3011.229,0.744244,0.037047
29.959,3017.72,0.746746,0.037182
30.059,3024.881,0.749247,0.037245
30.159,3032.767,0.751749,0.037313
30.259,3039.057,0.754191,0.037419
30.359,3046.582,0.756692,0.037518
30.459,3054.322,0.759193,0.037615
30.559,3061.112,0.761695,0.037656
30.659,3067.533,0.764196,0.037734
30.759,3075.581,0.766757,0.037846
30.859,3082.443,0.769259,0.038023
30.959,3089.024,0.771701,0.038027
31.059,3096.72,0.774262,0.038108
31.159,3104.1,0.776763,0.038232
31.259,3110.582,0.779205,0.038267
31.359,3117.865,0.781707,0.038339
31.459,3125.649,0.784268,0.038491
31.559,3131.707,0.78671,0.038609
31.659,3138.528,0.789211,0.038639
31.759,3146.298,0.791772,0.03874
31.859,3153.316,0.794214,0.038824
31.959,3159.547,0.796656,0.038872
32.059,3166.859,0.799217,0.038958
32.159,3173.95,0.801659,0.039017
32.259,3180.62,0.804101,0.039117
32.359,3188.331,0.806662,0.039172
32.459,3195.991,0.809163,0.03929
32.559,3201.866,0.811665,0.039361
32.659,3209.239,0.814166,0.039489
32.759,3216.699,0.816668,0.039603
32.859,3223.148,0.819109,0.039718
32.959,3230.117,0.821611,0.039817
33.059,3237.839,0.824172,0.039888
33.159,3244.252,0.826673,0.039928
33.259,3251.475,0.829115,0.040054
33.359,3259.081,0.831736,0.040137
33.459,3265.729,0.834237,0.040283
33.559,3272.103,0.836679,0.040336
33.659,3279.537,0.839181,0.040314
33.759,3286.498,0.841682,0.040496
33.859,3293.355,0.844124,0.040558
33.959,3300.618,0.846625,0.040614
34.059,3308.997,0.849187,0.040718
34.159,3315.837,0.851628,0.040769
34.259,3322.51,0.85413,0.040943
34.359,3330.042,0.856691,0.040973
34.459,3337.094,0.859133,0.041083
34.559,3344.155,0.861634,0.04118
34.659,3351.964,0.864136,0.041288
34.759,3359.187,0.866637,0.041357
34.859,3366.16,0.869139,0.041446
34.959,3373.676,0.87164,0.041519
35.059,3381.431,0.874201,0.041647
35.159,3387.675,0.876643,0.041727
35.259,3394.652,0.879204,0.041791
35.359,3402.394,0.881706,0.041913
35.459,3409.634,0.884147,0.041978
35.559,3416.755,0.886649,0.042015
35.659,3424.451,0.88915,0.042251
35.759,3431.658,0.891652,0.042287
35.859,3437.849,0.894094,0.042307
35.959,3445.712,0.896655,0.042424
36.059,3452.55,0.899097,0.042466
36.159,3459.118,0.901539,0.042615
36.259,3466.973,0.9041,0.042666
36.359,3474.396,0.906601,0.0429
36.459,3481.629,0.909043,0.042947
36.559,3488.607,0.911544,0.04299
36.659,3496.384,0.914105,0.04306
36.759,3503.584,0.916607,0.043107
36.859,3510.275,0.919108,0.043257
36.959,3517.965,0.921669,0.043421
37.059,3524.979,0.924171,0.043472
37.159,3532.102,0.926613,0.043521
37.259,3540.021,0.929174,0.043564
37.359,3547.12,0.931675,0.043691
37.459,3553.674,0.934117,0.043786
37.559,3561.554,0.936619,0.04384
37.659,3568.294,0.93912,0.04398
37.759,3574.936,0.941562,0.044059
37.859,3582.494,0.944063,0.044194
37.959,3590.206,0.946624,0.044216
38.059,3597.461,0.949066,0.044289
38.159,3604.846,0.951568,0.044375
38.259,3612.773,0.954069,0.044532
38.359,3619.991,0.956571,0.04456
38.459,3626.819,0.959072,0.044626
38.559,3634.797,0.961574,0.044746
38.659,3642.71,0.964075,0.044948
38.759,3649.097,0.966577,0.045022
38.859,3656.711,0.969138,0.045048
38.959,3664.621,0.971639,0.045181
39.059,3671.359,0.974081,0.045272
39.159,3678.892,0.976642,0.045384
39.259,3686.605,0.979143,0.045454
39.359,3692.853,0.981585,0.04553
39.459,3700.33,0.984027,0.045602
39.559,3708.41,0.986588,0.045757
39.659,3715.21,0.98909,0.045756
39.759,3721.87,0.991532,0.045925
39.859,3730.336,0.994033,0.045994
39.959,3737.793,0.996534,0.046051
40.059,3744.642,0.998976,0.046159
40.159,3752.232,1.001537,0.046267
40.259,3759.993,1.004039,0.046343
40.359,3766.896,1.006481,0.046378
40.459,3774.259,1.009042,0.046509
40.559,3781.75,1.011543,0.046598
40.659,3788.433,1.014045,0.046619
40.759,3795.812,1.016546,0.046815
40.859,3804.07,1.019107,0.046846
40.959,3811.568,1.021549,0.047033
41.059,3817.903,1.024051,0.047089
41.159,3826.43,1.026552,0.047098
41.259,3833.832,1.029053,0.047266
41.359,3840.649,1.031555,0.047422
41.459,3847.939,1.034056,0.047478
41.559,3855.521,1.036617,0.047539
41.659,3863.186,1.039059,0.04765
41.759,3870.181,1.041501,0.047804
41.859,3877.987,1.044062,0.047821
41.959,3885.606,1.046504,0.047937
42.059,3892.665,1.048946,0.048024
42.159,3900.315,1.051507,0.048094
42.259,3907.32,1.054009,0.048297
42.359,3915.013,1.05651,0.048307
42.459,3922.02,1.059071,0.048418
42.559,3929.869,1.061513,0.048507
42.659,3937.258,1.064014,0.048581
42.759,3945.346,1.066516,0.04871
42.859,3953.414,1.069077,0.048784
42.959,3960.142,1.071519,0.048912
43.059,3968.091,1.07402,0.049008
43.159,3975.919,1.076581,0.04906
43.259,3982.454,1.079023,0.049191
43.359,3989.09,1.081525,0.049218
43.459,3997.877,1.084026,0.049298
43.559,4005,1.086528,0.049459
43.659,4011.78,1.08897,0.049446
43.759,4020.198,1.091471,0.049633
43.859,4027.824,1.093972,0.049673
43.959,4034.63,1.096414,0.049807
44.059,4042.208,1.098975,0.049824
44.159,4049.562,1.101477,0.04992
44.259,4056.633,1.103978,0.050075
44.359,4063.787,1.10642,0.050235
44.459,4072.166,1.108981,0.050195
44.559,4079.388,1.111423,0.050374
44.659,4087.238,1.113925,0.050463
44.759,4094.977,1.116545,0.050566
44.859,4102.201,1.119047,0.050676
44.959,4108.78,1.121488,0.050735
45.059,4116.944,1.124049,0.050878
45.159,4124.461,1.126551,0.050975
45.259,4131.517,1.128993,0.051065
45.359,4139.706,1.131494,0.051169
45.459,4148.029,1.133996,0.051205
45.559,4154.683,1.136438,0.051347
45.659,4162.404,1.138939,0.051425
45.759,4170.107,1.1415,0.051537
45.859,4177.066,1.143942,0.05148
45.959,4184.041,1.146384,0.051587
46.059,4192.362,1.148945,0.051832
46.159,4200.808,1.151446,0.051862
46.259,4207.998,1.153888,0.052023
46.359,4215.94,1.156449,0.052061
46.459,4223.995,1.158951,0.052119
46.559,4230.573,1.161393,0.052178
46.659,4238.215,1.163954,0.052364
46.759,4245.798,1.166515,0.052412
46.859,4252.554,1.168957,0.052583
46.959,4260.783,1.171458,0.052675
47.059,4269.001,1.174019,0.052745
47.159,4276.195,1.176461,0.05287
47.259,4283.387,1.178903,0.052877
47.359,4291.631,1.181464,0.052969
47.459,4298.939,1.183906,0.053178
47.559,4305.896,1.186407,0.053197
47.659,4313.23,1.188909,0.053263
47.759,4320.598,1.19141,0.0534
47.859,4328.215,1.193852,0.053474
47.959,4336.015,1.196354,0.053585
48.059,4343.587,1.198915,0.053688
48.159,4351.419,1.201357,0.053782
48.259,4358.967,1.203858,0.05391
48.359,4366.608,1.206419,0.053961
48.459,4374,1.208861,0.054041
48.559,4381.15,1.211362,0.054192
48.659,4389.333,1.213923,0.054224
48.759,4396.7,1.216425,0.054335
48.859,4404.389,1.218867,0.054422
48.959,4412.302,1.221428,0.054509
49.059,4420.098,1.223929,0.054641
49.159,4426.924,1.226371,0.054701
49.259,4434.694,1.228873,0.054766
49.359,4442.93,1.231434,0.054938
49.459,4449.395,1.233876,0.054992
49.559,4456.712,1.236377,0.055045
49.659,4464.97,1.238878,0.055144
49.759,4472.448,1.24132,0.055299
49.859,4479.901,1.243822,0.055327
49.959,4488.185,1.246323,0.055458
50.059,4495.246,1.248825,0.055574
50.159,4502.471,1.251326,0.055771
50.259,4510.774,1.253887,0.055682
50.359,4518.171,1.256389,0.055879
50.459,4524.767,1.258831,0.05593
50.559,4533.53,1.261392,0.055966
50.659,4541.564,1.263893,0.056145
50.759,4548.688,1.266335,0.056136
50.859,4555.852,1.268836,0.056301
50.959,4563.802,1.271338,0.056391
51.059,4571.344,1.273839,0.056529
51.159,4577.799,1.276341,0.056585
51.259,4585.937,1.278902,0.056684
51.359,4594.563,1.281344,0.056723
51.459,4601.237,1.283786,0.056872
51.559,4609.402,1.286287,0.05699
51.659,4617.083,1.288789,0.057157
51.759,4624.127,1.29123,0.05716
51.859,4631.963,1.293732,0.057279
51.959,4640.245,1.296293,0.057369
52.059,4647.125,1.298794,0.057453
52.159,4653.93,1.301296,0.057573
52.259,4662.995,1.303857,0.057696
52.359,4670.529,1.306299,0.057748
52.459,4677.868,1.308741,0.057876
52.559,4685.972,1.311302,0.058006
52.659,4694.221,1.313803,0.058061
52.759,4701.385,1.316305,0.058131
52.859,4709.288,1.318806,0.05825
52.959,4717.029,1.321367,0.058366
53.059,4723.732,1.323809,0.058394
53.159,4731.567,1.326311,0.058611
53.259,4739.599,1.328812,0.058611
53.359,4747.493,1.331254,0.058755
53.459,4755.146,1.333755,0.058855
53.559,4762.962,1.336257,0.05888
53.659,4770.721,1.338758,0.059044
53.759,4777.847,1.3412,0.059089
53.859,4786.246,1.343761,0.059207
53.959,4794.23,1.346263,0.059353
54.059,4801.447,1.348705,0.059375
54.159,4809.292,1.351266,0.059514
54.259,4817.728,1.353767,0.059645
54.359,4825.643,1.356209,0.059743
54.459,4832.662,1.35877,0.059836
54.559,4841.458,1.361331,0.059994
54.659,4848.283,1.363773,0.060009
54.759,4855.656,1.366274,0.060079
54.859,4863.459,1.368835,0.060214
54.959,4871.444,1.371277,0.060329
55.059,4879.115,1.373719,0.060405
55.159,4887.289,1.37628,0.060511
55.259,4894.842,1.378782,0.060637
55.359,4901.989,1.381224,0.060617
55.459,4910.152,1.383725,0.060775
55.559,4917.917,1.386226,0.060904
55.659,4924.578,1.388668,0.060928
55.759,4932.388,1.39117,0.06117
55.859,4940.869,1.393731,0.061162
