Points,Time [s],Disp [mm],Load [N]
17,8.38,-1.228451,-0.68
18,8.385,-0.926833,-0.08
19,8.39,-0.630366,0.26
20,8.395,-0.37105,0.12
1,8.4,-0.16753,0.03
2,8.405,-0.074604,0.04
3,8.41,-0.083834,0.05
4,8.415,-0.189671,0.05
5,8.42,-0.37629,0.05
6,8.425,-0.612835,-0.03
7,8.43,-0.88207,-0.51
8,8.435,-1.146043,-1.23
9,8.44,-1.389321,-2.12
10,8.445,-1.591499,-3.04
11,8.45,-1.735944,-3.84
12,8.455,-1.817731,-4.28
13,8.46,-1.832414,-4.18
14,8.465,-1.784317,-3.57
15,8.47,-1.671696,-2.63
16,8.475,-1.489869,-1.6
17,8.48,-1.228542,-0.69
18,8.485,-0.926504,-0.08
19,8.49,-0.6302,0.27
20,8.495,-0.370949,0.13
1,8.5,-0.167508,0.03
2,8.505,-0.074492,0.03
3,8.51,-0.08372,0.05
4,8.515,-0.189747,0.05
5,8.52,-0.376506,0.03
6,8.525,-0.612889,-0.03
7,8.53,-0.882106,-0.51
8,8.535,-1.146042,-1.24
9,8.54,-1.389429,-2.11
10,8.545,-1.591512,-3.04
11,8.55,-1.735934,-3.82
12,8.555,-1.817868,-4.27
13,8.56,-1.832376,-4.19
14,8.565,-1.784237,-3.57
15,8.57,-1.671722,-2.62
16,8.575,-1.49008,-1.59
17,8.58,-1.228442,-0.69
18,8.585,-0.92631,-0.09
19,8.59,-0.630134,0.26
20,8.595,-0.371027,0.13
1,8.6,-0.167432,0.04
2,8.605,-0.074694,0.03
3,8.61,-0.083616,0.03
4,8.615,-0.189459,0.04
5,8.62,-0.376517,0.04
6,8.625,-0.61298,-0.04
7,8.63,-0.882319,-0.5
8,8.635,-1.146098,-1.24
9,8.64,-1.389326,-2.11
10,8.645,-1.591535,-3.05
11,8.65,-1.735863,-3.85
12,8.655,-1.817734,-4.27
13,8.66,-1.832496,-4.19
14,8.665,-1.784263,-3.57
15,8.67,-1.671672,-2.61
16,8.675,-1.489834,-1.59
17,8.68,-1.228365,-0.69
18,8.685,-0.926549,-0.09
19,8.69,-0.630147,0.25
20,8.695,-0.370989,0.12
1,8.7,-0.16747,0.03
2,8.705,-0.074607,0.04
3,8.71,-0.083901,0.04
4,8.715,-0.189475,0.03
5,8.72,-0.376406,0.05
6,8.725,-0.612875,-0.02
7,8.73,-0.882296,-0.53
8,8.735,-1.1465,-1.24
9,8.74,-1.389569,-2.11
10,8.745,-1.591573,-3.04
11,8.75,-1.73586,-3.82
12,8.755,-1.817513,-4.25
13,8.76,-1.832445,-4.17
14,8.765,-1.784284,-3.57
15,8.77,-1.671616,-2.62
16,8.775,-1.489883,-1.59
17,8.78,-1.22829,-0.69
18,8.785,-0.926524,-0.08
19,8.79,-0.630166,0.26
20,8.795,-0.370844,0.13
1,8.8,-0.167188,0.03
2,8.805,-0.074543,0.03
3,8.81,-0.083782,0.05
4,8.815,-0.189647,0.04
5,8.82,-0.376522,0.05
6,8.825,-0.612892,-0.03
7,8.83,-0.882266,-0.5
8,8.835,-1.146294,-1.24
9,8.84,-1.389465,-2.1
10,8.845,-1.591959,-3.04
11,8.85,-1.736022,-3.82
12,8.855,-1.817666,-4.26
13,8.86,-1.832417,-4.17
14,8.865,-1.784268,-3.57
15,8.87,-1.671612,-2.61
16,8.875,-1.489749,-1.59
17,8.88,-1.228177,-0.69
18,8.885,-0.926494,-0.08
19,8.89,-0.6302,0.27
20,8.895,-0.370831,0.12
1,8.9,-0.167043,0.04
2,8.905,-0.074545,0.03
3,8.91,-0.084105,0.05
4,8.915,-0.189547,0.04
5,8.92,-0.376286,0.05
6,8.925,-0.612879,-0.03
7,8.93,-0.882454,-0.51
8,8.935,-1.146435,-1.23
9,8.94,-1.389468,-2.11
10,8.945,-1.59187,-3.04
11,8.95,-1.736191,-3.84
12,8.955,-1.817624,-4.25
13,8.96,-1.832509,-4.17
14,8.965,-1.78427,-3.57
15,8.97,-1.671618,-2.61
16,8.975,-1.489416,-1.59
17,8.98,-1.228473,-0.68
18,8.985,-0.926584,-0.08
19,8.99,-0.629991,0.26
20,8.995,-0.370643,0.12
1,9,-0.16707,0.05
2,9.005,-0.074553,0.03
3,9.01,-0.084004,0.04
4,9.015,-0.189546,0.04
5,9.02,-0.376391,0.05
6,9.025,-0.612825,-0.04
7,9.03,-0.882457,-0.51
8,9.035,-1.146715,-1.24
9,9.04,-1.389543,-2.1
10,9.045,-1.591789,-3.04
11,9.05,-1.735986,-3.8
12,9.055,-1.817515,-4.25
13,9.06,-1.832552,-4.17
14,9.065,-1.784244,-3.56
15,9.07,-1.671567,-2.62
16,9.075,-1.489461,-1.59
17,9.08,-1.228438,-0.69
18,9.085,-0.926597,-0.08
19,9.09,-0.629951,0.27
20,9.095,-0.370494,0.13
1,9.1,-0.166938,0.05
2,9.105,-0.074597,0.03
3,9.11,-0.084047,0.03
4,9.115,-0.189535,0.04
5,9.12,-0.376501,0.04
6,9.125,-0.612868,-0.02
7,9.13,-0.88243,-0.51
8,9.135,-1.146862,-1.24
9,9.14,-1.38978,-2.09
10,9.145,-1.591684,-3.04
11,9.15,-1.735978,-3.81
12,9.155,-1.81763,-4.25
13,9.16,-1.832633,-4.17
14,9.165,-1.784191,-3.56
15,9.17,-1.671606,-2.61
16,9.175,-1.48964,-1.59
17,9.18,-1.228051,-0.67
18,9.185,-0.926361,-0.07
19,9.19,-0.630279,0.26
20,9.195,-0.370966,0.13
1,9.2,-0.166644,0.04
2,9.205,-0.073823,0.03
3,9.21,-0.083857,0.03
4,9.215,-0.189662,0.03
5,9.22,-0.376793,0.03
6,9.225,-0.613068,-0.03
7,9.23,-0.88243,-0.51
8,9.235,-1.146585,-1.22
9,9.24,-1.389447,-2.09
10,9.245,-1.591901,-3.03
11,9.25,-1.736339,-3.82
12,9.255,-1.817599,-4.24
13,9.26,-1.832455,-4.16
14,9.265,-1.784247,-3.56
15,9.27,-1.671708,-2.6
16,9.275,-1.489923,-1.59
17,9.28,-1.228282,-0.68
18,9.285,-0.926239,-0.08
19,9.29,-0.629466,0.27
20,9.295,-0.370418,0.12
1,9.3,-0.167018,0.04
2,9.305,-0.074635,0.03
3,9.31,-0.084148,0.04
4,9.315,-0.189672,0.03
5,9.32,-0.376411,0.04
6,9.325,-0.612722,-0.01
7,9.33,-0.88257,-0.51
8,9.335,-1.146928,-1.22
9,9.34,-1.389612,-2.09
10,9.345,-1.591793,-3.01
11,9.35,-1.73615,-3.81
12,9.355,-1.817684,-4.24
13,9.36,-1.832708,-4.16
14,9.365,-1.784269,-3.56
15,9.37,-1.671553,-2.6
16,9.375,-1.489486,-1.58
17,9.38,-1.227973,-0.68
18,9.385,-0.926469,-0.08
19,9.39,-0.630041,0.27
20,9.395,-0.370466,0.12
1,9.4,-0.166815,0.05
2,9.405,-0.074538,0.03
3,9.41,-0.084259,0.04
4,9.415,-0.189409,0.03
5,9.42,-0.37626,0.04
6,9.425,-0.612934,-0.03
7,9.43,-0.88271,-0.49
8,9.435,-1.146819,-1.23
9,9.44,-1.389509,-2.08
10,9.445,-1.591943,-3.02
11,9.45,-1.736208,-3.8
12,9.455,-1.817658,-4.24
13,9.46,-1.832458,-4.16
14,9.465,-1.784228,-3.55
15,9.47,-1.671629,-2.6
16,9.475,-1.489895,-1.58
17,9.48,-1.228295,-0.68
18,9.485,-0.926242,-0.08
19,9.49,-0.629597,0.26
20,9.495,-0.370303,0.12
1,9.5,-0.166711,0.05
2,9.505,-0.074571,0.04
3,9.51,-0.08449,0.03
4,9.515,-0.189417,0.05
5,9.52,-0.3763,0.04
6,9.525,-0.612854,-0.02
7,9.53,-0.882647,-0.5
8,9.535,-1.146944,-1.23
9,9.54,-1.389978,-2.08
10,9.545,-1.592023,-3.04
11,9.55,-1.736159,-3.81
12,9.555,-1.817681,-4.22
13,9.56,-1.832575,-4.15
14,9.565,-1.784214,-3.54
15,9.57,-1.671602,-2.6
16,9.575,-1.489099,-1.57
17,9.58,-1.227762,-0.68
18,9.585,-0.926626,-0.08
19,9.59,-0.629996,0.27
20,9.595,-0.370465,0.11
1,9.6,-0.166616,0.05
2,9.605,-0.074313,0.04
3,9.61,-0.084332,0.04
4,9.615,-0.18955,0.03
5,9.62,-0.376432,0.05
6,9.625,-0.612893,-0.03
7,9.63,-0.882701,-0.49
8,9.635,-1.147047,-1.22
9,9.64,-1.389665,-2.07
10,9.645,-1.592051,-3.02
11,9.65,-1.736442,-3.8
12,9.655,-1.817718,-4.24
13,9.66,-1.832651,-4.16
14,9.665,-1.784215,-3.54
15,9.67,-1.671501,-2.6
16,9.675,-1.489351,-1.57
17,9.68,-1.227978,-0.67
18,9.685,-0.926331,-0.07
19,9.69,-0.629709,0.27
20,9.695,-0.370309,0.12
1,9.7,-0.166489,0.05
2,9.705,-0.074338,0.04
3,9.71,-0.084525,0.03
4,9.715,-0.189732,0.03
5,9.72,-0.376452,0.04
6,9.725,-0.61269,-0.02
7,9.73,-0.882582,-0.5
8,9.735,-1.147109,-1.22
9,9.74,-1.390032,-2.07
10,9.745,-1.592344,-3.01
11,9.75,-1.73606,-3.8
12,9.755,-1.817672,-4.23
13,9.76,-1.832732,-4.13
14,9.765,-1.784062,-3.54
15,9.77,-1.671465,-2.58
16,9.775,-1.490107,-1.58
17,9.78,-1.227832,-0.66
18,9.785,-0.925977,-0.06
19,9.79,-0.629729,0.27
20,9.795,-0.370349,0.12
1,9.8,-0.166549,0.05
2,9.805,-0.074193,0.04
3,9.81,-0.084016,0.05
4,9.815,-0.18961,0.03
5,9.82,-0.376485,0.04
6,9.825,-0.612925,-0.02
7,9.83,-0.882735,-0.49
8,9.835,-1.147311,-1.22
9,9.84,-1.389952,-2.07
10,9.845,-1.592292,-3.02
11,9.85,-1.736163,-3.8
12,9.855,-1.817474,-4.22
13,9.86,-1.832642,-4.13
14,9.865,-1.784259,-3.54
15,9.87,-1.671579,-2.59
16,9.875,-1.48948,-1.57
17,9.88,-1.227837,-0.67
18,9.885,-0.926273,-0.07
19,9.89,-0.629757,0.27
20,9.895,-0.370318,0.12
1,9.9,-0.166474,0.05
2,9.905,-0.074171,0.05
3,9.91,-0.084063,0.04
4,9.915,-0.18958,0.04
5,9.92,-0.376571,0.05
6,9.925,-0.613001,-0.03
7,9.93,-0.882839,-0.5
8,9.935,-1.147382,-1.21
9,9.94,-1.390074,-2.07
10,9.945,-1.591928,-3
11,9.95,-1.73611,-3.79
12,9.955,-1.81767,-4.22
13,9.96,-1.832709,-4.14
14,9.965,-1.784162,-3.54
15,9.97,-1.671543,-2.59
16,9.975,-1.489561,-1.56
17,9.98,-1.228103,-0.67
18,9.985,-0.926228,-0.07
19,9.99,-0.629538,0.27
20,9.995,-0.37005,0.12
