Points,Time [s],Disp [mm],Load [N]
5,4.52000,-1.671730,-2.63
6,4.52500,-1.489713,-1.59
7,4.53000,-1.228697,-0.70
8,4.53500,-0.926740,-0.08
9,4.54000,-0.630285,0.26
10,4.54500,-0.371169,0.12
11,4.55000,-0.167659,0.04
12,4.55500,-0.074572,0.03
13,4.56000,-0.083749,0.05
14,4.56500,-0.189665,0.04
15,4.57000,-0.376463,0.03
16,4.57500,-0.612858,-0.04
17,4.58000,-0.881978,-0.51
18,4.58500,-1.145832,-1.24
19,4.59000,-1.389260,-2.12
20,4.59500,-1.591505,-3.05
1,4.60000,-1.735801,-3.84
2,4.60500,-1.817737,-4.27
3,4.61000,-1.832495,-4.18
4,4.61500,-1.784304,-3.58
5,4.62000,-1.671701,-2.62
6,4.62500,-1.489661,-1.59
7,4.63000,-1.228451,-0.68
8,4.63500,-0.926833,-0.08
9,4.64000,-0.630366,0.26
10,4.64500,-0.371050,0.12
11,4.65000,-0.167530,0.03
12,4.65500,-0.074604,0.04
13,4.66000,-0.083834,0.05
14,4.66500,-0.189671,0.05
15,4.67000,-0.376290,0.05
16,4.67500,-0.612835,-0.03
17,4.68000,-0.882070,-0.51
18,4.68500,-1.146043,-1.23
19,4.69000,-1.389321,-2.12
20,4.69500,-1.591499,-3.04
1,4.70000,-1.735944,-3.84
2,4.70500,-1.817731,-4.28
3,4.71000,-1.832414,-4.18
4,4.71500,-1.784317,-3.57
5,4.72000,-1.671696,-2.63
6,4.72500,-1.489869,-1.60
7,4.73000,-1.228542,-0.69
8,4.73500,-0.926504,-0.08
9,4.74000,-0.630200,0.27
10,4.74500,-0.370949,0.13
11,4.75000,-0.167508,0.03
12,4.75500,-0.074492,0.03
13,4.76000,-0.083720,0.05
14,4.76500,-0.189747,0.05
15,4.77000,-0.376506,0.03
16,4.77500,-0.612889,-0.03
17,4.78000,-0.882106,-0.51
18,4.78500,-1.146042,-1.24
19,4.79000,-1.389429,-2.11
20,4.79500,-1.591512,-3.04
1,4.80000,-1.735934,-3.82
2,4.80500,-1.817868,-4.27
3,4.81000,-1.832376,-4.19
4,4.81500,-1.784237,-3.57
5,4.82000,-1.671722,-2.62
6,4.82500,-1.490080,-1.59
7,4.83000,-1.228442,-0.69
8,4.83500,-0.926310,-0.09
9,4.84000,-0.630134,0.26
10,4.84500,-0.371027,0.13
11,4.85000,-0.167432,0.04
12,4.85500,-0.074694,0.03
13,4.86000,-0.083616,0.03
14,4.86500,-0.189459,0.04
15,4.87000,-0.376517,0.04
16,4.87500,-0.612980,-0.04
17,4.88000,-0.882319,-0.50
18,4.88500,-1.146098,-1.24
19,4.89000,-1.389326,-2.11
20,4.89500,-1.591535,-3.05
1,4.90000,-1.735863,-3.85
2,4.90500,-1.817734,-4.27
3,4.91000,-1.832496,-4.19
4,4.91500,-1.784263,-3.57
5,4.92000,-1.671672,-2.61
6,4.92500,-1.489834,-1.59
7,4.93000,-1.228365,-0.69
8,4.93500,-0.926549,-0.09
9,4.94000,-0.630147,0.25
10,4.94500,-0.370989,0.12
11,4.95000,-0.167470,0.03
12,4.95500,-0.074607,0.04
13,4.96000,-0.083901,0.04
14,4.96500,-0.189475,0.03
15,4.97000,-0.376406,0.05
16,4.97500,-0.612875,-0.02
17,4.98000,-0.882296,-0.53
18,4.98500,-1.146500,-1.24
19,4.99000,-1.389569,-2.11
20,4.99500,-1.591573,-3.04
1,5.00000,-1.735860,-3.82
2,5.00500,-1.817513,-4.25
3,5.01000,-1.832445,-4.17
4,5.01500,-1.784284,-3.57
5,5.02000,-1.671616,-2.62
6,5.02500,-1.489883,-1.59
7,5.03000,-1.228290,-0.69
8,5.03500,-0.926524,-0.08
9,5.04000,-0.630166,0.26
10,5.04500,-0.370844,0.13
11,5.05000,-0.167188,0.03
12,5.05500,-0.074543,0.03
13,5.06000,-0.083782,0.05
14,5.06500,-0.189647,0.04
15,5.07000,-0.376522,0.05
16,5.07500,-0.612892,-0.03
17,5.08000,-0.882266,-0.50
18,5.08500,-1.146294,-1.24
19,5.09000,-1.389465,-2.10
20,5.09500,-1.591959,-3.04
1,5.10000,-1.736022,-3.82
2,5.10500,-1.817666,-4.26
3,5.11000,-1.832417,-4.17
4,5.11500,-1.784268,-3.57
5,5.12000,-1.671612,-2.61
6,5.12500,-1.489749,-1.59
7,5.13000,-1.228177,-0.69
8,5.13500,-0.926494,-0.08
9,5.14000,-0.630200,0.27
10,5.14500,-0.370831,0.12
11,5.15000,-0.167043,0.04
12,5.15500,-0.074545,0.03
13,5.16000,-0.084105,0.05
14,5.16500,-0.189547,0.04
15,5.17000,-0.376286,0.05
16,5.17500,-0.612879,-0.03
17,5.18000,-0.882454,-0.51
18,5.18500,-1.146435,-1.23
19,5.19000,-1.389468,-2.11
20,5.19500,-1.591870,-3.04
1,5.20000,-1.736191,-3.84
2,5.20500,-1.817624,-4.25
3,5.21000,-1.832509,-4.17
4,5.21500,-1.784270,-3.57
5,5.22000,-1.671618,-2.61
6,5.22500,-1.489416,-1.59
7,5.23000,-1.228473,-0.68
8,5.23500,-0.926584,-0.08
9,5.24000,-0.629991,0.26
10,5.24500,-0.370643,0.12
11,5.25000,-0.167070,0.05
12,5.25500,-0.074553,0.03
13,5.26000,-0.084004,0.04
14,5.26500,-0.189546,0.04
15,5.27000,-0.376391,0.05
16,5.27500,-0.612825,-0.04
17,5.28000,-0.882457,-0.51
18,5.28500,-1.146715,-1.24
19,5.29000,-1.389543,-2.10
20,5.29500,-1.591789,-3.04
1,5.30000,-1.735986,-3.80
2,5.30500,-1.817515,-4.25
3,5.31000,-1.832552,-4.17
4,5.31500,-1.784244,-3.56
5,5.32000,-1.671567,-2.62
6,5.32500,-1.489461,-1.59
7,5.33000,-1.228438,-0.69
8,5.33500,-0.926597,-0.08
9,5.34000,-0.629951,0.27
10,5.34500,-0.370494,0.13
11,5.35000,-0.166938,0.05
12,5.35500,-0.074597,0.03
13,5.36000,-0.084047,0.03
14,5.36500,-0.189535,0.04
15,5.37000,-0.376501,0.04
16,5.37500,-0.612868,-0.02
17,5.38000,-0.882430,-0.51
18,5.38500,-1.146862,-1.24
19,5.39000,-1.389780,-2.09
20,5.39500,-1.591684,-3.04
1,5.40000,-1.735978,-3.81
2,5.40500,-1.817630,-4.25
3,5.41000,-1.832633,-4.17
4,5.41500,-1.784191,-3.56
5,5.42000,-1.671606,-2.61
6,5.42500,-1.489640,-1.59
7,5.43000,-1.228051,-0.67
8,5.43500,-0.926361,-0.07
9,5.44000,-0.630279,0.26
10,5.44500,-0.370966,0.13
11,5.45000,-0.166644,0.04
12,5.45500,-0.073823,0.03
13,5.46000,-0.083857,0.03
14,5.46500,-0.189662,0.03
15,5.47000,-0.376793,0.03
16,5.47500,-0.613068,-0.03
17,5.48000,-0.882430,-0.51
18,5.48500,-1.146585,-1.22
19,5.49000,-1.389447,-2.09
20,5.49500,-1.591901,-3.03
1,5.50000,-1.736339,-3.82
2,5.50500,-1.817599,-4.24
3,5.51000,-1.832455,-4.16
4,5.51500,-1.784247,-3.56
5,5.52000,-1.671708,-2.60
6,5.52500,-1.489923,-1.59
7,5.53000,-1.228282,-0.68
8,5.53500,-0.926239,-0.08
9,5.54000,-0.629466,0.27
10,5.54500,-0.370418,0.12
11,5.55000,-0.167018,0.04
12,5.55500,-0.074635,0.03
13,5.56000,-0.084148,0.04
14,5.56500,-0.189672,0.03
15,5.57000,-0.376411,0.04
16,5.57500,-0.612722,-0.01
17,5.58000,-0.882570,-0.51
18,5.58500,-1.146928,-1.22
19,5.59000,-1.389612,-2.09
20,5.59500,-1.591793,-3.01
1,5.60000,-1.736150,-3.81
2,5.60500,-1.817684,-4.24
3,5.61000,-1.832708,-4.16
4,5.61500,-1.784269,-3.56
5,5.62000,-1.671553,-2.60
6,5.62500,-1.489486,-1.58
7,5.63000,-1.227973,-0.68
8,5.63500,-0.926469,-0.08
9,5.64000,-0.630041,0.27
10,5.64500,-0.370466,0.12
11,5.65000,-0.166815,0.05
12,5.65500,-0.074538,0.03
13,5.66000,-0.084259,0.04
14,5.66500,-0.189409,0.03
15,5.67000,-0.376260,0.04
16,5.67500,-0.612934,-0.03
17,5.68000,-0.882710,-0.49
18,5.68500,-1.146819,-1.23
19,5.69000,-1.389509,-2.08
20,5.69500,-1.591943,-3.02
1,5.70000,-1.736208,-3.80
2,5.70500,-1.817658,-4.24
3,5.71000,-1.832458,-4.16
4,5.71500,-1.784228,-3.55
5,5.72000,-1.671629,-2.60
6,5.72500,-1.489895,-1.58
7,5.73000,-1.228295,-0.68
8,5.73500,-0.926242,-0.08
9,5.74000,-0.629597,0.26
10,5.74500,-0.370303,0.12
11,5.75000,-0.166711,0.05
12,5.75500,-0.074571,0.04
13,5.76000,-0.084490,0.03
14,5.76500,-0.189417,0.05
15,5.77000,-0.376300,0.04
16,5.77500,-0.612854,-0.02
17,5.78000,-0.882647,-0.50
18,5.78500,-1.146944,-1.23
19,5.79000,-1.389978,-2.08
20,5.79500,-1.592023,-3.04
1,5.80000,-1.736159,-3.81
2,5.80500,-1.817681,-4.22
3,5.81000,-1.832575,-4.15
4,5.81500,-1.784214,-3.54
5,5.82000,-1.671602,-2.60
6,5.82500,-1.489099,-1.57
7,5.83000,-1.227762,-0.68
8,5.83500,-0.926626,-0.08
9,5.84000,-0.629996,0.27
10,5.84500,-0.370465,0.11
11,5.85000,-0.166616,0.05
12,5.85500,-0.074313,0.04
13,5.86000,-0.084332,0.04
14,5.86500,-0.189550,0.03
15,5.87000,-0.376432,0.05
16,5.87500,-0.612893,-0.03
17,5.88000,-0.882701,-0.49
18,5.88500,-1.147047,-1.22
19,5.89000,-1.389665,-2.07
20,5.89500,-1.592051,-3.02
1,5.90000,-1.736442,-3.80
2,5.90500,-1.817718,-4.24
3,5.91000,-1.832651,-4.16
4,5.91500,-1.784215,-3.54
5,5.92000,-1.671501,-2.60
6,5.92500,-1.489351,-1.57
7,5.93000,-1.227978,-0.67
8,5.93500,-0.926331,-0.07
9,5.94000,-0.629709,0.27
10,5.94500,-0.370309,0.12
11,5.95000,-0.166489,0.05
12,5.95500,-0.074338,0.04
13,5.96000,-0.084525,0.03
14,5.96500,-0.189732,0.03
15,5.97000,-0.376452,0.04
16,5.97500,-0.612690,-0.02
17,5.98000,-0.882582,-0.50
18,5.98500,-1.147109,-1.22
19,5.99000,-1.390032,-2.07
20,5.99500,-1.592344,-3.01
1,6.00000,-1.736060,-3.80
2,6.00500,-1.817672,-4.23
3,6.01000,-1.832732,-4.13
4,6.01500,-1.784062,-3.54
5,6.02000,-1.671465,-2.58
6,6.02500,-1.490107,-1.58
7,6.03000,-1.227832,-0.66
8,6.03500,-0.925977,-0.06
9,6.04000,-0.629729,0.27
10,6.04500,-0.370349,0.12
11,6.05000,-0.166549,0.05
12,6.05500,-0.074193,0.04
13,6.06000,-0.084016,0.05
14,6.06500,-0.189610,0.03
15,6.07000,-0.376485,0.04
16,6.07500,-0.612925,-0.02
17,6.08000,-0.882735,-0.49
18,6.08500,-1.147311,-1.22
19,6.09000,-1.389952,-2.07
20,6.09500,-1.592292,-3.02
1,6.10000,-1.736163,-3.80
2,6.10500,-1.817474,-4.22
3,6.11000,-1.832642,-4.13
4,6.11500,-1.784259,-3.54
5,6.12000,-1.671579,-2.59
6,6.12500,-1.489480,-1.57
7,6.13000,-1.227837,-0.67
8,6.13500,-0.926273,-0.07
9,6.14000,-0.629757,0.27
10,6.14500,-0.370318,0.12
11,6.15000,-0.166474,0.05
12,6.15500,-0.074171,0.05
13,6.16000,-0.084063,0.04
14,6.16500,-0.189580,0.04
15,6.17000,-0.376571,0.05
16,6.17500,-0.613001,-0.03
17,6.18000,-0.882839,-0.50
18,6.18500,-1.147382,-1.21
19,6.19000,-1.390074,-2.07
20,6.19500,-1.591928,-3.00
1,6.20000,-1.736110,-3.79
2,6.20500,-1.817670,-4.22
3,6.21000,-1.832709,-4.14
4,6.21500,-1.784162,-3.54
5,6.22000,-1.671543,-2.59
6,6.22500,-1.489561,-1.56
7,6.23000,-1.228103,-0.67
8,6.23500,-0.926228,-0.07
9,6.24000,-0.629538,0.27
10,6.24500,-0.370050,0.12
11,6.25000,-0.166229,0.03
12,6.25500,-0.074429,0.03
13,6.26000,-0.084563,0.05
14,6.26500,-0.189482,0.03
15,6.27000,-0.376331,0.03
16,6.27500,-0.612695,-0.01
17,6.28000,-0.882779,-0.49
18,6.28500,-1.147334,-1.22
19,6.29000,-1.389985,-2.07
20,6.29500,-1.592434,-3.01
1,6.30000,-1.736329,-3.79
2,6.30500,-1.817716,-4.22
3,6.31000,-1.832826,-4.14
4,6.31500,-1.784101,-3.54
5,6.32000,-1.671453,-2.58
6,6.32500,-1.489649,-1.57
7,6.33000,-1.227767,-0.66
8,6.33500,-0.926062,-0.07
9,6.34000,-0.629631,0.28
10,6.34500,-0.370193,0.10
11,6.35000,-0.166317,0.03
12,6.35500,-0.074273,0.03
13,6.36000,-0.084415,0.03
14,6.36500,-0.189485,0.04
15,6.37000,-0.376316,0.05
16,6.37500,-0.612951,-0.02
17,6.38000,-0.882969,-0.49
18,6.38500,-1.147478,-1.22
19,6.39000,-1.389892,-2.07
20,6.39500,-1.592323,-3.01
